name,candidate_id,age,gender,no_children,emp_card_id
Geneva Le,928100,43.0,Female,,7505
Marilyn Weber,913797,51.0,Male,0,
Marlene Deweese,926775,30.0,Male,2,
Lydia Martino,919847,31.0,Female,0,
Donna Fisher,936127,24.0,Female,0,
Lena Mendoza,905703,44.0,Female,1,2333
Jay Klingenberg,907375,45.0,Male,2,1998
Lillian Duncan,927271,30.0,Male,2,
Leopoldo Olson,927704,45.0,Male,,
Dan Mathieu,942059,45.0,Male,1,
Michel Saucedo,940438,42.0,Male,2,
Lori Grady,931461,35.0,Female,0,
Brian Bronk,941345,44.0,Male,0,
Daniel Steele,922201,28.0,Female,1,
Peter Martinez,937163,20.0,Female,0,
Zachary Schoberg,925812,40.0,Male,1,
Joe Able,930461,34.0,Female,0,
Larry Golden,901625,55.0,Male,,4452
Robert Kruger,910938,45.0,Male,1,
Jill Cowels,912460,44.0,Male,2,
Patrick Yang,898083,45.0,Male,1,5718
Kurt Tindell,927911,37.0,Female,1,6895
Carl Hinman,945916,29.0,Female,1,
Jeanette Lopez,933136,45.0,Male,,
Antoine Taylor,914388,59.0,Male,,228
David Sutton,917000,46.0,Female,0,7898
John Romano,910121,46.0,Male,1,4647
Maria Swan,907280,49.0,Male,1,7068
Shelby Bugarin,944633,23.0,Female,0,
John Simpson,945746,33.0,Female,0,
William Goldberg,910821,41.0,Male,,
Steven Prok,941765,40.0,Male,1,
Antonio Boardman,918994,32.0,Female,0,
Sheryl Sims,923460,49.0,Male,2,3237
April Jones,933507,41.0,Male,2,
Craig Medina,932200,45.0,Male,1,9136
Candice Brantly,921023,39.0,Female,0,
Shannon Mordino,936865,28.0,Female,0,
Margaret Flynn,922446,39.0,Female,0,
Dennis Roy,909740,61.0,Male,1,4276
Carl Lemus,932270,47.0,Male,2,5057
Andrew Matthews,938375,26.0,Female,0,
Paul Williams,918587,37.0,Female,2,106
Donald Valentine,900233,56.0,Male,1,1186
Jonathan Israel,922121,36.0,Female,0,
John Hanover,935246,34.0,Female,0,
Raymond Parker,902288,36.0,Male,2,
Bryant Allen,897882,60.0,Male,1,
Alexander Wolfe,930829,29.0,Female,0,
Anthony Hargrove,921970,20.0,Female,0,
Gertrude Schoenfeld,917670,35.0,Female,1,7414
Donna Murray,897337,46.0,Male,1,2687
Douglas Stegmann,935599,39.0,Female,0,
Scott John,904539,41.0,Male,1,
Versie Young,905874,39.0,Female,1,7421
Dale Walsh,915328,50.0,Male,1,
Ronald George,931989,50.0,Male,,7048
Nancy Swanson,917200,44.0,Female,3,9789
Lesli Torres,930827,37.0,Female,0,
Harry Rogers,897757,53.0,Male,2,3093
Mechelle Nitkowski,920821,28.0,Female,0,
Betty Mcclain,944957,29.0,Female,0,
Andrew Sullivan,905730,27.0,Female,2,2576
Michael Brown,936021,22.0,Female,0,
Alex Smith,917252,33.0,Female,2,3553
Gary Gansen,934588,40.0,Female,2,4881
Paul Stevens,941343,44.0,Male,1,
Tiffany Chase,896856,45.0,Male,1,5612
